   0.01000:    0.00053134 x 10^(-38) cm2
   0.03826:    0.00056292 x 10^(-38) cm2
   0.06651:    0.00059574 x 10^(-38) cm2
   0.09477:    0.00062984 x 10^(-38) cm2
   0.12303:    0.00066528 x 10^(-38) cm2
   0.15128:    0.00070209 x 10^(-38) cm2
   0.15350:    0.00074050 x 10^(-38) cm2
   0.15575:    0.00078040 x 10^(-38) cm2
   0.15803:    0.00082183 x 10^(-38) cm2
   0.16035:    0.00086488 x 10^(-38) cm2
   0.16270:    0.00090958 x 10^(-38) cm2
   0.16508:    0.00095637 x 10^(-38) cm2
   0.16750:    0.00100588 x 10^(-38) cm2
   0.16996:    0.00105743 x 10^(-38) cm2
   0.17245:    0.00111110 x 10^(-38) cm2
   0.17497:    0.00116696 x 10^(-38) cm2
   0.17754:    0.00122519 x 10^(-38) cm2
   0.18014:    0.00128677 x 10^(-38) cm2
   0.18278:    0.00135223 x 10^(-38) cm2
   0.18546:    0.00142116 x 10^(-38) cm2
   0.18818:    0.00149373 x 10^(-38) cm2
   0.19093:    0.00157012 x 10^(-38) cm2
   0.19373:    0.00165053 x 10^(-38) cm2
   0.19657:    0.00173517 x 10^(-38) cm2
   0.19945:    0.00182425 x 10^(-38) cm2
   0.20237:    0.00191797 x 10^(-38) cm2
   0.20534:    0.00201654 x 10^(-38) cm2
   0.20835:    0.00212017 x 10^(-38) cm2
   0.21140:    0.00222905 x 10^(-38) cm2
   0.21450:    0.00234338 x 10^(-38) cm2
   0.21764:    0.00246329 x 10^(-38) cm2
   0.22083:    0.00258893 x 10^(-38) cm2
   0.22407:    0.00272047 x 10^(-38) cm2
   0.22735:    0.00285807 x 10^(-38) cm2
   0.23069:    0.00300193 x 10^(-38) cm2
   0.23407:    0.00315232 x 10^(-38) cm2
   0.23750:    0.00330956 x 10^(-38) cm2
   0.24098:    0.00347401 x 10^(-38) cm2
   0.24451:    0.00364604 x 10^(-38) cm2
   0.24809:    0.00382605 x 10^(-38) cm2
   0.25173:    0.00401442 x 10^(-38) cm2
   0.25542:    0.00421147 x 10^(-38) cm2
   0.25916:    0.00441744 x 10^(-38) cm2
   0.26296:    0.00463260 x 10^(-38) cm2
   0.26681:    0.00485727 x 10^(-38) cm2
   0.27072:    0.00509176 x 10^(-38) cm2
   0.27469:    0.00533645 x 10^(-38) cm2
   0.27871:    0.00559183 x 10^(-38) cm2
   0.28280:    0.00585851 x 10^(-38) cm2
   0.28694:    0.00613716 x 10^(-38) cm2
   0.29115:    0.00642849 x 10^(-38) cm2
   0.29541:    0.00673325 x 10^(-38) cm2
   0.29974:    0.00705220 x 10^(-38) cm2
   0.30414:    0.00738609 x 10^(-38) cm2
   0.30859:    0.00773572 x 10^(-38) cm2
   0.31312:    0.00810193 x 10^(-38) cm2
   0.31770:    0.00848561 x 10^(-38) cm2
   0.32236:    0.00888770 x 10^(-38) cm2
   0.32708:    0.00930923 x 10^(-38) cm2
   0.33188:    0.00975119 x 10^(-38) cm2
   0.33674:    0.01021462 x 10^(-38) cm2
   0.34168:    0.01070061 x 10^(-38) cm2
   0.34668:    0.01121026 x 10^(-38) cm2
   0.35176:    0.01174465 x 10^(-38) cm2
   0.35692:    0.01230425 x 10^(-38) cm2
   0.36215:    0.01288932 x 10^(-38) cm2
   0.36746:    0.01350007 x 10^(-38) cm2
   0.37284:    0.01413676 x 10^(-38) cm2
   0.37830:    0.01479958 x 10^(-38) cm2
   0.38385:    0.01548902 x 10^(-38) cm2
   0.38947:    0.01620657 x 10^(-38) cm2
   0.39518:    0.01695400 x 10^(-38) cm2
   0.40097:    0.01773312 x 10^(-38) cm2
   0.40685:    0.01854579 x 10^(-38) cm2
   0.41281:    0.01939394 x 10^(-38) cm2
   0.41886:    0.02027865 x 10^(-38) cm2
   0.42500:    0.02119974 x 10^(-38) cm2
   0.43123:    0.02215688 x 10^(-38) cm2
   0.43755:    0.02314966 x 10^(-38) cm2
   0.44396:    0.02417768 x 10^(-38) cm2
   0.45047:    0.02524057 x 10^(-38) cm2
   0.45707:    0.02633924 x 10^(-38) cm2
   0.46377:    0.02747554 x 10^(-38) cm2
   0.47056:    0.02865140 x 10^(-38) cm2
   0.47746:    0.02986886 x 10^(-38) cm2
   0.48445:    0.03113009 x 10^(-38) cm2
   0.49155:    0.03243706 x 10^(-38) cm2
   0.49876:    0.03379029 x 10^(-38) cm2
   0.50607:    0.03518978 x 10^(-38) cm2
   0.51348:    0.03663549 x 10^(-38) cm2
   0.52101:    0.03812741 x 10^(-38) cm2
   0.52864:    0.03966549 x 10^(-38) cm2
   0.53639:    0.04125031 x 10^(-38) cm2
   0.54425:    0.04288394 x 10^(-38) cm2
   0.55223:    0.04456873 x 10^(-38) cm2
   0.56032:    0.04630717 x 10^(-38) cm2
   0.56853:    0.04810190 x 10^(-38) cm2
   0.57686:    0.04995543 x 10^(-38) cm2
   0.58532:    0.05186920 x 10^(-38) cm2
   0.59389:    0.05384346 x 10^(-38) cm2
   0.60260:    0.05587846 x 10^(-38) cm2
   0.61143:    0.05797450 x 10^(-38) cm2
   0.62039:    0.06013179 x 10^(-38) cm2
   0.62948:    0.06235065 x 10^(-38) cm2
   0.63871:    0.06463262 x 10^(-38) cm2
   0.64807:    0.06698014 x 10^(-38) cm2
   0.65756:    0.06939606 x 10^(-38) cm2
   0.66720:    0.07188364 x 10^(-38) cm2
   0.67698:    0.07444653 x 10^(-38) cm2
   0.68690:    0.07708825 x 10^(-38) cm2
   0.69696:    0.07981160 x 10^(-38) cm2
   0.70718:    0.08261980 x 10^(-38) cm2
