   0.01000:    0.00000094 x 10^(-38) cm2
   0.03814:    0.00000131 x 10^(-38) cm2
   0.06628:    0.00000150 x 10^(-38) cm2
   0.09442:    0.00000179 x 10^(-38) cm2
   0.12256:    0.00000218 x 10^(-38) cm2
   0.15070:    0.00000255 x 10^(-38) cm2
   0.15291:    0.00000298 x 10^(-38) cm2
   0.15515:    0.00000375 x 10^(-38) cm2
   0.15742:    0.00000415 x 10^(-38) cm2
   0.15973:    0.00000441 x 10^(-38) cm2
   0.16207:    0.00000559 x 10^(-38) cm2
   0.16445:    0.00000553 x 10^(-38) cm2
   0.16686:    0.00000728 x 10^(-38) cm2
   0.16931:    0.00000971 x 10^(-38) cm2
   0.17179:    0.00001103 x 10^(-38) cm2
   0.17431:    0.00001127 x 10^(-38) cm2
   0.17686:    0.00001432 x 10^(-38) cm2
   0.17946:    0.00001600 x 10^(-38) cm2
   0.18209:    0.00001940 x 10^(-38) cm2
   0.18476:    0.00002108 x 10^(-38) cm2
   0.18747:    0.00002697 x 10^(-38) cm2
   0.19022:    0.00003114 x 10^(-38) cm2
   0.19301:    0.00003546 x 10^(-38) cm2
   0.19584:    0.00004287 x 10^(-38) cm2
   0.19871:    0.00005255 x 10^(-38) cm2
   0.20162:    0.00005902 x 10^(-38) cm2
   0.20458:    0.00007356 x 10^(-38) cm2
   0.20758:    0.00008552 x 10^(-38) cm2
   0.21062:    0.00009929 x 10^(-38) cm2
   0.21371:    0.00012082 x 10^(-38) cm2
   0.21684:    0.00015125 x 10^(-38) cm2
   0.22002:    0.00017789 x 10^(-38) cm2
   0.22325:    0.00021163 x 10^(-38) cm2
   0.22652:    0.00025532 x 10^(-38) cm2
   0.22984:    0.00029704 x 10^(-38) cm2
   0.23321:    0.00036922 x 10^(-38) cm2
   0.23663:    0.00043591 x 10^(-38) cm2
   0.24010:    0.00051595 x 10^(-38) cm2
   0.24362:    0.00060497 x 10^(-38) cm2
   0.24720:    0.00071481 x 10^(-38) cm2
   0.25082:    0.00083325 x 10^(-38) cm2
   0.25450:    0.00099242 x 10^(-38) cm2
   0.25823:    0.00115323 x 10^(-38) cm2
   0.26202:    0.00134323 x 10^(-38) cm2
   0.26586:    0.00155986 x 10^(-38) cm2
   0.26976:    0.00180917 x 10^(-38) cm2
   0.27371:    0.00208835 x 10^(-38) cm2
   0.27772:    0.00240653 x 10^(-38) cm2
   0.28180:    0.00279538 x 10^(-38) cm2
   0.28593:    0.00321191 x 10^(-38) cm2
   0.29012:    0.00366803 x 10^(-38) cm2
   0.29438:    0.00420609 x 10^(-38) cm2
   0.29869:    0.00481103 x 10^(-38) cm2
   0.30307:    0.00547245 x 10^(-38) cm2
   0.30752:    0.00622391 x 10^(-38) cm2
   0.31202:    0.00711378 x 10^(-38) cm2
   0.31660:    0.00803249 x 10^(-38) cm2
   0.32124:    0.00908203 x 10^(-38) cm2
   0.32595:    0.01023807 x 10^(-38) cm2
   0.33073:    0.01152369 x 10^(-38) cm2
   0.33558:    0.01296184 x 10^(-38) cm2
   0.34050:    0.01452955 x 10^(-38) cm2
   0.34549:    0.01623702 x 10^(-38) cm2
   0.35056:    0.01816137 x 10^(-38) cm2
   0.35570:    0.02025511 x 10^(-38) cm2
   0.36092:    0.02253477 x 10^(-38) cm2
   0.36621:    0.02498564 x 10^(-38) cm2
