   0.01000:    0.00019319 x 10^(-38) cm2
   0.03814:    0.00020284 x 10^(-38) cm2
   0.06628:    0.00021284 x 10^(-38) cm2
   0.09442:    0.00022322 x 10^(-38) cm2
   0.12256:    0.00023399 x 10^(-38) cm2
   0.15070:    0.00024516 x 10^(-38) cm2
   0.15291:    0.00025674 x 10^(-38) cm2
   0.15515:    0.00026875 x 10^(-38) cm2
   0.15742:    0.00028122 x 10^(-38) cm2
   0.15973:    0.00029415 x 10^(-38) cm2
   0.16207:    0.00030757 x 10^(-38) cm2
   0.16445:    0.00032151 x 10^(-38) cm2
   0.16686:    0.00033597 x 10^(-38) cm2
   0.16931:    0.00035098 x 10^(-38) cm2
   0.17179:    0.00036655 x 10^(-38) cm2
   0.17431:    0.00038270 x 10^(-38) cm2
   0.17686:    0.00039948 x 10^(-38) cm2
   0.17946:    0.00041692 x 10^(-38) cm2
   0.18209:    0.00043503 x 10^(-38) cm2
   0.18476:    0.00045385 x 10^(-38) cm2
   0.18747:    0.00047340 x 10^(-38) cm2
   0.19022:    0.00049372 x 10^(-38) cm2
   0.19301:    0.00051484 x 10^(-38) cm2
   0.19584:    0.00053681 x 10^(-38) cm2
   0.19871:    0.00055968 x 10^(-38) cm2
   0.20162:    0.00058348 x 10^(-38) cm2
   0.20458:    0.00060829 x 10^(-38) cm2
   0.20758:    0.00063413 x 10^(-38) cm2
   0.21062:    0.00066107 x 10^(-38) cm2
   0.21371:    0.00068914 x 10^(-38) cm2
   0.21684:    0.00071842 x 10^(-38) cm2
   0.22002:    0.00074895 x 10^(-38) cm2
   0.22325:    0.00078082 x 10^(-38) cm2
   0.22652:    0.00081410 x 10^(-38) cm2
   0.22984:    0.00084889 x 10^(-38) cm2
   0.23321:    0.00088529 x 10^(-38) cm2
   0.23663:    0.00092339 x 10^(-38) cm2
   0.24010:    0.00096331 x 10^(-38) cm2
   0.24362:    0.00100517 x 10^(-38) cm2
   0.24720:    0.00104911 x 10^(-38) cm2
   0.25082:    0.00109530 x 10^(-38) cm2
   0.25450:    0.00114389 x 10^(-38) cm2
   0.25823:    0.00119505 x 10^(-38) cm2
   0.26202:    0.00124901 x 10^(-38) cm2
   0.26586:    0.00130603 x 10^(-38) cm2
   0.26976:    0.00136638 x 10^(-38) cm2
   0.27371:    0.00143037 x 10^(-38) cm2
   0.27772:    0.00149832 x 10^(-38) cm2
   0.28180:    0.00157059 x 10^(-38) cm2
   0.28593:    0.00164766 x 10^(-38) cm2
   0.29012:    0.00173001 x 10^(-38) cm2
   0.29438:    0.00181820 x 10^(-38) cm2
   0.29869:    0.00191278 x 10^(-38) cm2
   0.30307:    0.00201440 x 10^(-38) cm2
   0.30752:    0.00212382 x 10^(-38) cm2
   0.31202:    0.00224182 x 10^(-38) cm2
   0.31660:    0.00236927 x 10^(-38) cm2
   0.32124:    0.00250707 x 10^(-38) cm2
   0.32595:    0.00265614 x 10^(-38) cm2
   0.33073:    0.00281727 x 10^(-38) cm2
   0.33558:    0.00299126 x 10^(-38) cm2
   0.34050:    0.00317898 x 10^(-38) cm2
   0.34549:    0.00338131 x 10^(-38) cm2
   0.35056:    0.00359915 x 10^(-38) cm2
   0.35570:    0.00383316 x 10^(-38) cm2
   0.36092:    0.00408397 x 10^(-38) cm2
   0.36621:    0.00435221 x 10^(-38) cm2
   0.37158:    0.00463856 x 10^(-38) cm2
   0.37703:    0.00494369 x 10^(-38) cm2
   0.38255:    0.00526813 x 10^(-38) cm2
   0.38816:    0.00561231 x 10^(-38) cm2
   0.39385:    0.00597664 x 10^(-38) cm2
   0.39963:    0.00636148 x 10^(-38) cm2
   0.40549:    0.00676716 x 10^(-38) cm2
   0.41143:    0.00719398 x 10^(-38) cm2
   0.41747:    0.00764225 x 10^(-38) cm2
   0.42359:    0.00811223 x 10^(-38) cm2
   0.42980:    0.00860427 x 10^(-38) cm2
   0.43610:    0.00911872 x 10^(-38) cm2
   0.44250:    0.00965587 x 10^(-38) cm2
   0.44898:    0.01021595 x 10^(-38) cm2
   0.45557:    0.01079913 x 10^(-38) cm2
   0.46225:    0.01140547 x 10^(-38) cm2
   0.46903:    0.01203495 x 10^(-38) cm2
   0.47590:    0.01268757 x 10^(-38) cm2
   0.48288:    0.01336354 x 10^(-38) cm2
   0.48996:    0.01406306 x 10^(-38) cm2
   0.49715:    0.01478641 x 10^(-38) cm2
   0.50443:    0.01553388 x 10^(-38) cm2
   0.51183:    0.01630578 x 10^(-38) cm2
   0.51934:    0.01710242 x 10^(-38) cm2
   0.52695:    0.01792410 x 10^(-38) cm2
   0.53468:    0.01877090 x 10^(-38) cm2
   0.54252:    0.01964272 x 10^(-38) cm2
   0.55047:    0.02053940 x 10^(-38) cm2
   0.55854:    0.02146068 x 10^(-38) cm2
   0.56673:    0.02240624 x 10^(-38) cm2
   0.57504:    0.02337606 x 10^(-38) cm2
   0.58347:    0.02437032 x 10^(-38) cm2
   0.59203:    0.02538919 x 10^(-38) cm2
   0.60071:    0.02643322 x 10^(-38) cm2
   0.60952:    0.02750323 x 10^(-38) cm2
   0.61846:    0.02859958 x 10^(-38) cm2
   0.62752:    0.02972221 x 10^(-38) cm2
   0.63673:    0.03087104 x 10^(-38) cm2
   0.64606:    0.03204586 x 10^(-38) cm2
