   0.01000:    0.00000877 x 10^(-38) cm2
   0.03826:    0.00000922 x 10^(-38) cm2
   0.06651:    0.00000876 x 10^(-38) cm2
   0.09477:    0.00001203 x 10^(-38) cm2
   0.12303:    0.00011762 x 10^(-38) cm2
   0.15128:    0.00001698 x 10^(-38) cm2
   0.15350:    0.00294525 x 10^(-38) cm2
   0.15575:    0.01008848 x 10^(-38) cm2
   0.15803:    0.01991589 x 10^(-38) cm2
   0.16035:    0.03124018 x 10^(-38) cm2
   0.16270:    0.04331803 x 10^(-38) cm2
   0.16508:    0.05571941 x 10^(-38) cm2
   0.16750:    0.06827324 x 10^(-38) cm2
   0.16996:    0.08042699 x 10^(-38) cm2
   0.17245:    0.09268924 x 10^(-38) cm2
   0.17497:    0.10384917 x 10^(-38) cm2
   0.17754:    0.11480488 x 10^(-38) cm2
   0.18014:    0.12554102 x 10^(-38) cm2
   0.18278:    0.13599466 x 10^(-38) cm2
   0.18546:    0.14564467 x 10^(-38) cm2
   0.18818:    0.15504486 x 10^(-38) cm2
   0.19093:    0.16468658 x 10^(-38) cm2
   0.19373:    0.17377690 x 10^(-38) cm2
   0.19657:    0.18237149 x 10^(-38) cm2
   0.19945:    0.19092061 x 10^(-38) cm2
   0.20237:    0.19952781 x 10^(-38) cm2
   0.20534:    0.20802369 x 10^(-38) cm2
   0.20835:    0.21636764 x 10^(-38) cm2
   0.21140:    0.22481424 x 10^(-38) cm2
   0.21450:    0.23286620 x 10^(-38) cm2
   0.21764:    0.24112054 x 10^(-38) cm2
   0.22083:    0.24932590 x 10^(-38) cm2
   0.22407:    0.25751377 x 10^(-38) cm2
   0.22735:    0.26567192 x 10^(-38) cm2
   0.23069:    0.27395543 x 10^(-38) cm2
   0.23407:    0.28229866 x 10^(-38) cm2
   0.23750:    0.29074358 x 10^(-38) cm2
   0.24098:    0.29890769 x 10^(-38) cm2
   0.24451:    0.30756513 x 10^(-38) cm2
   0.24809:    0.31627744 x 10^(-38) cm2
   0.25173:    0.32519734 x 10^(-38) cm2
   0.25542:    0.33427300 x 10^(-38) cm2
   0.25916:    0.34356795 x 10^(-38) cm2
   0.26296:    0.35306885 x 10^(-38) cm2
   0.26681:    0.36271897 x 10^(-38) cm2
   0.27072:    0.37245533 x 10^(-38) cm2
   0.27469:    0.38187100 x 10^(-38) cm2
   0.27871:    0.39185444 x 10^(-38) cm2
   0.28280:    0.40222730 x 10^(-38) cm2
   0.28694:    0.41300320 x 10^(-38) cm2
   0.29115:    0.42432592 x 10^(-38) cm2
   0.29541:    0.43593965 x 10^(-38) cm2
   0.29974:    0.44795796 x 10^(-38) cm2
   0.30414:    0.46041546 x 10^(-38) cm2
   0.30859:    0.47357431 x 10^(-38) cm2
   0.31312:    0.48727513 x 10^(-38) cm2
   0.31770:    0.50179408 x 10^(-38) cm2
   0.32236:    0.51712114 x 10^(-38) cm2
   0.32708:    0.53317716 x 10^(-38) cm2
   0.33188:    0.55026168 x 10^(-38) cm2
   0.33674:    0.56861010 x 10^(-38) cm2
   0.34168:    0.58786192 x 10^(-38) cm2
   0.34668:    0.60858200 x 10^(-38) cm2
   0.35176:    0.63052907 x 10^(-38) cm2
   0.35692:    0.65389286 x 10^(-38) cm2
   0.36215:    0.67890094 x 10^(-38) cm2
   0.36746:    0.70528198 x 10^(-38) cm2
   0.37284:    0.73312457 x 10^(-38) cm2
   0.37830:    0.76266673 x 10^(-38) cm2
   0.38385:    0.79351224 x 10^(-38) cm2
   0.38947:    0.82629733 x 10^(-38) cm2
   0.39518:    0.86089649 x 10^(-38) cm2
   0.40097:    0.89783504 x 10^(-38) cm2
   0.40685:    0.93633756 x 10^(-38) cm2
   0.41281:    0.97725698 x 10^(-38) cm2
   0.41886:    1.02094230 x 10^(-38) cm2
   0.42500:    1.06678784 x 10^(-38) cm2
   0.43123:    1.11509266 x 10^(-38) cm2
   0.43755:    1.16528646 x 10^(-38) cm2
   0.44396:    1.21769838 x 10^(-38) cm2
   0.45047:    1.27143958 x 10^(-38) cm2
   0.45707:    1.32803440 x 10^(-38) cm2
   0.46377:    1.38667363 x 10^(-38) cm2
   0.47056:    1.44751098 x 10^(-38) cm2
   0.47746:    1.51036580 x 10^(-38) cm2
   0.48445:    1.57610956 x 10^(-38) cm2
   0.49155:    1.64586299 x 10^(-38) cm2
   0.49876:    1.71664016 x 10^(-38) cm2
   0.50607:    1.79028148 x 10^(-38) cm2
   0.51348:    1.86703447 x 10^(-38) cm2
   0.52101:    1.94564364 x 10^(-38) cm2
   0.52864:    2.02701917 x 10^(-38) cm2
   0.53639:    2.11001558 x 10^(-38) cm2
   0.54425:    2.19646574 x 10^(-38) cm2
   0.55223:    2.28410934 x 10^(-38) cm2
   0.56032:    2.37645165 x 10^(-38) cm2
   0.56853:    2.46757232 x 10^(-38) cm2
   0.57686:    2.56316831 x 10^(-38) cm2
   0.58532:    2.66216106 x 10^(-38) cm2
   0.59389:    2.76391727 x 10^(-38) cm2
   0.60260:    2.86602317 x 10^(-38) cm2
   0.61143:    2.97106152 x 10^(-38) cm2
   0.62039:    3.07925557 x 10^(-38) cm2
   0.62948:    3.18950674 x 10^(-38) cm2
   0.63871:    3.30234792 x 10^(-38) cm2
   0.64807:    3.41414864 x 10^(-38) cm2
   0.65756:    3.52988094 x 10^(-38) cm2
   0.66720:    3.64875679 x 10^(-38) cm2
   0.67698:    3.76505347 x 10^(-38) cm2
   0.68690:    3.88864509 x 10^(-38) cm2
   0.69696:    4.01302409 x 10^(-38) cm2
   0.70718:    4.14151497 x 10^(-38) cm2
   0.71754:    4.27080180 x 10^(-38) cm2
   0.72806:    4.40253240 x 10^(-38) cm2
