   0.01000:    0.00000097 x 10^(-38) cm2
   0.03814:    0.00000136 x 10^(-38) cm2
   0.06628:    0.00000156 x 10^(-38) cm2
   0.09442:    0.00000186 x 10^(-38) cm2
   0.12256:    0.00000227 x 10^(-38) cm2
   0.15070:    0.00000265 x 10^(-38) cm2
   0.15291:    0.00000310 x 10^(-38) cm2
   0.15515:    0.00000390 x 10^(-38) cm2
   0.15742:    0.00000432 x 10^(-38) cm2
   0.15973:    0.00000459 x 10^(-38) cm2
   0.16207:    0.00000582 x 10^(-38) cm2
   0.16445:    0.00000598 x 10^(-38) cm2
   0.16686:    0.00000785 x 10^(-38) cm2
   0.16931:    0.00001047 x 10^(-38) cm2
   0.17179:    0.00001224 x 10^(-38) cm2
   0.17431:    0.00001250 x 10^(-38) cm2
   0.17686:    0.00001604 x 10^(-38) cm2
   0.17946:    0.00001829 x 10^(-38) cm2
   0.18209:    0.00002254 x 10^(-38) cm2
   0.18476:    0.00002523 x 10^(-38) cm2
   0.18747:    0.00003262 x 10^(-38) cm2
   0.19022:    0.00003850 x 10^(-38) cm2
   0.19301:    0.00004502 x 10^(-38) cm2
   0.19584:    0.00005548 x 10^(-38) cm2
   0.19871:    0.00006896 x 10^(-38) cm2
   0.20162:    0.00008010 x 10^(-38) cm2
   0.20458:    0.00010094 x 10^(-38) cm2
   0.20758:    0.00012056 x 10^(-38) cm2
   0.21062:    0.00014345 x 10^(-38) cm2
   0.21371:    0.00017657 x 10^(-38) cm2
   0.21684:    0.00022101 x 10^(-38) cm2
   0.22002:    0.00026375 x 10^(-38) cm2
   0.22325:    0.00031669 x 10^(-38) cm2
   0.22652:    0.00038363 x 10^(-38) cm2
   0.22984:    0.00045219 x 10^(-38) cm2
   0.23321:    0.00055784 x 10^(-38) cm2
   0.23663:    0.00066280 x 10^(-38) cm2
   0.24010:    0.00078826 x 10^(-38) cm2
   0.24362:    0.00093039 x 10^(-38) cm2
   0.24720:    0.00110339 x 10^(-38) cm2
   0.25082:    0.00129552 x 10^(-38) cm2
   0.25450:    0.00154265 x 10^(-38) cm2
   0.25823:    0.00180464 x 10^(-38) cm2
   0.26202:    0.00211338 x 10^(-38) cm2
   0.26586:    0.00246849 x 10^(-38) cm2
   0.26976:    0.00288051 x 10^(-38) cm2
   0.27371:    0.00334912 x 10^(-38) cm2
   0.27772:    0.00388775 x 10^(-38) cm2
   0.28180:    0.00453519 x 10^(-38) cm2
   0.28593:    0.00525035 x 10^(-38) cm2
   0.29012:    0.00605199 x 10^(-38) cm2
   0.29438:    0.00699447 x 10^(-38) cm2
   0.29869:    0.00806736 x 10^(-38) cm2
   0.30307:    0.00926936 x 10^(-38) cm2
   0.30752:    0.01064726 x 10^(-38) cm2
   0.31202:    0.01227051 x 10^(-38) cm2
   0.31660:    0.01402740 x 10^(-38) cm2
   0.32124:    0.01604941 x 10^(-38) cm2
   0.32595:    0.01831645 x 10^(-38) cm2
   0.33073:    0.02087295 x 10^(-38) cm2
   0.33558:    0.02376196 x 10^(-38) cm2
   0.34050:    0.02696979 x 10^(-38) cm2
   0.34549:    0.03052765 x 10^(-38) cm2
   0.35056:    0.03454086 x 10^(-38) cm2
   0.35570:    0.03896664 x 10^(-38) cm2
   0.36092:    0.04383829 x 10^(-38) cm2
   0.36621:    0.04916422 x 10^(-38) cm2
   0.37158:    0.05503882 x 10^(-38) cm2
   0.37703:    0.06139409 x 10^(-38) cm2
   0.38255:    0.06843444 x 10^(-38) cm2
   0.38816:    0.07592368 x 10^(-38) cm2
   0.39385:    0.08407426 x 10^(-38) cm2
   0.39963:    0.09285462 x 10^(-38) cm2
   0.40549:    0.10221894 x 10^(-38) cm2
   0.41143:    0.11219676 x 10^(-38) cm2
   0.41747:    0.12286368 x 10^(-38) cm2
   0.42359:    0.13430014 x 10^(-38) cm2
   0.42980:    0.14612096 x 10^(-38) cm2
   0.43610:    0.15893084 x 10^(-38) cm2
   0.44250:    0.17217915 x 10^(-38) cm2
   0.44898:    0.18621148 x 10^(-38) cm2
   0.45557:    0.20120532 x 10^(-38) cm2
   0.46225:    0.21650950 x 10^(-38) cm2
   0.46903:    0.23275508 x 10^(-38) cm2
   0.47590:    0.24965983 x 10^(-38) cm2
   0.48288:    0.26741134 x 10^(-38) cm2
   0.48996:    0.28600066 x 10^(-38) cm2
   0.49715:    0.30479186 x 10^(-38) cm2
   0.50443:    0.32457724 x 10^(-38) cm2
   0.51183:    0.34527939 x 10^(-38) cm2
   0.51934:    0.36662651 x 10^(-38) cm2
   0.52695:    0.38917067 x 10^(-38) cm2
   0.53468:    0.41182650 x 10^(-38) cm2
   0.54252:    0.43536912 x 10^(-38) cm2
   0.55047:    0.45970512 x 10^(-38) cm2
   0.55854:    0.48501472 x 10^(-38) cm2
   0.56673:    0.51091335 x 10^(-38) cm2
   0.57504:    0.53713224 x 10^(-38) cm2
   0.58347:    0.56419726 x 10^(-38) cm2
   0.59203:    0.59204251 x 10^(-38) cm2
   0.60071:    0.62103538 x 10^(-38) cm2
   0.60952:    0.64971770 x 10^(-38) cm2
   0.61846:    0.67997478 x 10^(-38) cm2
   0.62752:    0.71023138 x 10^(-38) cm2
   0.63673:    0.74220515 x 10^(-38) cm2
   0.64606:    0.77364086 x 10^(-38) cm2
   0.65553:    0.80635493 x 10^(-38) cm2
   0.66515:    0.83868894 x 10^(-38) cm2
   0.67490:    0.87243224 x 10^(-38) cm2
   0.68480:    0.90640412 x 10^(-38) cm2
   0.69484:    0.94146794 x 10^(-38) cm2
   0.70502:    0.97752034 x 10^(-38) cm2
   0.71536:    1.01368109 x 10^(-38) cm2
   0.72585:    1.04991105 x 10^(-38) cm2
   0.73649:    1.08756230 x 10^(-38) cm2
   0.74729:    1.12642149 x 10^(-38) cm2
   0.75825:    1.16553578 x 10^(-38) cm2
   0.76937:    1.20517785 x 10^(-38) cm2
   0.78065:    1.24642210 x 10^(-38) cm2
   0.79210:    1.28585248 x 10^(-38) cm2
   0.80371:    1.32985361 x 10^(-38) cm2
   0.81550:    1.37245186 x 10^(-38) cm2
   0.82745:    1.41758046 x 10^(-38) cm2
   0.83959:    1.46144879 x 10^(-38) cm2
   0.85190:    1.50754715 x 10^(-38) cm2
   0.86439:    1.55400518 x 10^(-38) cm2
   0.87706:    1.60230914 x 10^(-38) cm2
   0.88992:    1.64966248 x 10^(-38) cm2
   0.90297:    1.70180515 x 10^(-38) cm2
   0.91621:    1.75223471 x 10^(-38) cm2
   0.92964:    1.80333785 x 10^(-38) cm2
   0.94328:    1.85912753 x 10^(-38) cm2
   0.95711:    1.91382671 x 10^(-38) cm2
   0.97114:    1.96795973 x 10^(-38) cm2
   0.98538:    2.02509782 x 10^(-38) cm2
   0.99983:    2.08404712 x 10^(-38) cm2
   1.01450:    2.14115611 x 10^(-38) cm2
   1.02940:    2.20430053 x 10^(-38) cm2
   1.04450:    2.26843337 x 10^(-38) cm2
   1.05980:    2.33273223 x 10^(-38) cm2
   1.07530:    2.39760515 x 10^(-38) cm2
   1.09110:    2.46298438 x 10^(-38) cm2
   1.10710:    2.53454610 x 10^(-38) cm2
   1.12330:    2.60458174 x 10^(-38) cm2
   1.13980:    2.67954368 x 10^(-38) cm2
   1.15650:    2.75327607 x 10^(-38) cm2
   1.17340:    2.83184044 x 10^(-38) cm2
   1.19070:    2.90123655 x 10^(-38) cm2
   1.20810:    2.98034081 x 10^(-38) cm2
   1.22580:    3.05846248 x 10^(-38) cm2
   1.24380:    3.13482852 x 10^(-38) cm2
   1.26200:    3.21434950 x 10^(-38) cm2
   1.28050:    3.30009011 x 10^(-38) cm2
   1.29930:    3.38355506 x 10^(-38) cm2
   1.31840:    3.46289357 x 10^(-38) cm2
   1.33770:    3.55061014 x 10^(-38) cm2
   1.35730:    3.63934212 x 10^(-38) cm2
   1.37720:    3.72792753 x 10^(-38) cm2
   1.39740:    3.81294852 x 10^(-38) cm2
   1.41790:    3.90227220 x 10^(-38) cm2
   1.43870:    3.99222994 x 10^(-38) cm2
   1.45980:    4.08595132 x 10^(-38) cm2
   1.48120:    4.17693226 x 10^(-38) cm2
   1.50290:    4.28306791 x 10^(-38) cm2
   1.52490:    4.37750698 x 10^(-38) cm2
   1.54730:    4.47240351 x 10^(-38) cm2
   1.57000:    4.57124193 x 10^(-38) cm2
   1.59300:    4.66401488 x 10^(-38) cm2
   1.61640:    4.76503997 x 10^(-38) cm2
   1.64010:    4.86201689 x 10^(-38) cm2
   1.66410:    4.95559154 x 10^(-38) cm2
   1.68850:    5.07182437 x 10^(-38) cm2
   1.71330:    5.17187620 x 10^(-38) cm2
   1.73840:    5.27493485 x 10^(-38) cm2
   1.76390:    5.38227651 x 10^(-38) cm2
   1.78980:    5.49186962 x 10^(-38) cm2
   1.81600:    5.59612251 x 10^(-38) cm2
   1.84260:    5.69920475 x 10^(-38) cm2
   1.86960:    5.80757511 x 10^(-38) cm2
   1.89710:    5.91106180 x 10^(-38) cm2
   1.92490:    6.02618055 x 10^(-38) cm2
   1.95310:    6.12979388 x 10^(-38) cm2
   1.98170:    6.24602100 x 10^(-38) cm2
   2.01080:    6.36193313 x 10^(-38) cm2
   2.04030:    6.47940600 x 10^(-38) cm2
   2.07020:    6.60769184 x 10^(-38) cm2
   2.10050:    6.72342209 x 10^(-38) cm2
   2.13130:    6.84378717 x 10^(-38) cm2
   2.16260:    6.95944244 x 10^(-38) cm2
   2.19430:    7.07780844 x 10^(-38) cm2
   2.22650:    7.19274898 x 10^(-38) cm2
   2.25910:    7.30821129 x 10^(-38) cm2
   2.29230:    7.42309160 x 10^(-38) cm2
   2.32590:    7.54171918 x 10^(-38) cm2
   2.36000:    7.66095337 x 10^(-38) cm2
   2.39460:    7.78318828 x 10^(-38) cm2
   2.42970:    7.90161382 x 10^(-38) cm2
   2.46530:    8.02720263 x 10^(-38) cm2
   2.50150:    8.14711045 x 10^(-38) cm2
   2.53810:    8.27450979 x 10^(-38) cm2
   2.57540:    8.39885234 x 10^(-38) cm2
   2.61310:    8.53016742 x 10^(-38) cm2
   2.65140:    8.65461644 x 10^(-38) cm2
   2.69030:    8.78945830 x 10^(-38) cm2
   2.72980:    8.92069125 x 10^(-38) cm2
   2.76980:    9.05390929 x 10^(-38) cm2
   2.81040:    9.18375311 x 10^(-38) cm2
   2.85160:    9.32353112 x 10^(-38) cm2
   2.89340:    9.45487433 x 10^(-38) cm2
   2.93580:    9.58630719 x 10^(-38) cm2
   2.97890:    9.71945098 x 10^(-38) cm2
   3.02260:    9.84997154 x 10^(-38) cm2
   3.06690:    9.97972625 x 10^(-38) cm2
   3.11190:   10.11238575 x 10^(-38) cm2
   3.15750:   10.24750471 x 10^(-38) cm2
   3.20380:   10.37939907 x 10^(-38) cm2
   3.25080:   10.52602703 x 10^(-38) cm2
   3.29840:   10.67342189 x 10^(-38) cm2
   3.34680:   10.82398079 x 10^(-38) cm2
   3.39590:   10.97769349 x 10^(-38) cm2
   3.44570:   11.13085427 x 10^(-38) cm2
   3.49620:   11.27727990 x 10^(-38) cm2
   3.54740:   11.42297819 x 10^(-38) cm2
   3.59950:   11.56444591 x 10^(-38) cm2
   3.65220:   11.70480419 x 10^(-38) cm2
   3.70580:   11.84927804 x 10^(-38) cm2
   3.76010:   12.00190456 x 10^(-38) cm2
   3.81530:   12.16279023 x 10^(-38) cm2
   3.87120:   12.33453209 x 10^(-38) cm2
   3.92800:   12.50339102 x 10^(-38) cm2
   3.98560:   12.68113485 x 10^(-38) cm2
   4.04400:   12.85628157 x 10^(-38) cm2
   4.10330:   13.02286722 x 10^(-38) cm2
   4.16350:   13.18887165 x 10^(-38) cm2
   4.22450:   13.35040438 x 10^(-38) cm2
   4.28640:   13.51108975 x 10^(-38) cm2
   4.34930:   13.66201726 x 10^(-38) cm2
   4.41310:   13.81183793 x 10^(-38) cm2
   4.47780:   13.96182149 x 10^(-38) cm2
   4.54340:   14.11843106 x 10^(-38) cm2
   4.61010:   14.27797777 x 10^(-38) cm2
   4.67760:   14.45326997 x 10^(-38) cm2
   4.74620:   14.64706323 x 10^(-38) cm2
   4.81580:   14.85531721 x 10^(-38) cm2
   4.88640:   15.07085653 x 10^(-38) cm2
   4.95810:   15.28894305 x 10^(-38) cm2
   5.03080:   15.49494381 x 10^(-38) cm2
   5.10460:   15.69709551 x 10^(-38) cm2
   5.17940:   15.88590303 x 10^(-38) cm2
   5.25530:   16.07323574 x 10^(-38) cm2
   5.33240:   16.25626041 x 10^(-38) cm2
   5.41060:   16.43845600 x 10^(-38) cm2
   5.48990:   16.62686025 x 10^(-38) cm2
   5.57040:   16.82158786 x 10^(-38) cm2
   5.65210:   17.02235562 x 10^(-38) cm2
   5.73500:   17.23165254 x 10^(-38) cm2
   5.81910:   17.45429436 x 10^(-38) cm2
   5.90440:   17.68710325 x 10^(-38) cm2
   5.99100:   17.92646756 x 10^(-38) cm2
   6.07880:   18.17445754 x 10^(-38) cm2
   6.16790:   18.41657790 x 10^(-38) cm2
   6.25840:   18.65234778 x 10^(-38) cm2
   6.35010:   18.88571890 x 10^(-38) cm2
   6.44330:   19.11279615 x 10^(-38) cm2
   6.53770:   19.33900060 x 10^(-38) cm2
   6.63360:   19.56505525 x 10^(-38) cm2
   6.73090:   19.79944024 x 10^(-38) cm2
   6.82950:   20.05246532 x 10^(-38) cm2
   6.92970:   20.30286311 x 10^(-38) cm2
   7.03130:   20.55927474 x 10^(-38) cm2
   7.13440:   20.81811735 x 10^(-38) cm2
   7.23900:   21.07862584 x 10^(-38) cm2
   7.34510:   21.34129842 x 10^(-38) cm2
   7.45280:   21.60573773 x 10^(-38) cm2
   7.56210:   21.87348287 x 10^(-38) cm2
   7.67300:   22.15377856 x 10^(-38) cm2
   7.78550:   22.44479394 x 10^(-38) cm2
   7.89970:   22.75079201 x 10^(-38) cm2
   8.01550:   23.06953723 x 10^(-38) cm2
   8.13300:   23.39437663 x 10^(-38) cm2
   8.25230:   23.72239299 x 10^(-38) cm2
   8.37330:   24.04732384 x 10^(-38) cm2
   8.49610:   24.36285454 x 10^(-38) cm2
   8.62060:   24.67767014 x 10^(-38) cm2
   8.74700:   24.98269758 x 10^(-38) cm2
   8.87530:   25.28867411 x 10^(-38) cm2
   9.00540:   25.59693967 x 10^(-38) cm2
   9.13750:   25.90917163 x 10^(-38) cm2
   9.27150:   26.22324843 x 10^(-38) cm2
   9.40740:   26.55314253 x 10^(-38) cm2
   9.54530:   26.89335158 x 10^(-38) cm2
   9.68530:   27.24404167 x 10^(-38) cm2
   9.82730:   27.60550528 x 10^(-38) cm2
   9.97140:   27.97317768 x 10^(-38) cm2
  10.11800:   28.34366396 x 10^(-38) cm2
  10.26600:   28.72075874 x 10^(-38) cm2
  10.41600:   29.09658896 x 10^(-38) cm2
  10.56900:   29.47124744 x 10^(-38) cm2
  10.72400:   29.84174668 x 10^(-38) cm2
  10.88100:   30.21538810 x 10^(-38) cm2
  11.04100:   30.59614074 x 10^(-38) cm2
  11.20300:   30.99484799 x 10^(-38) cm2
  11.36700:   31.41988658 x 10^(-38) cm2
  11.53400:   31.86434392 x 10^(-38) cm2
  11.70300:   32.32141919 x 10^(-38) cm2
  11.87500:   32.78843566 x 10^(-38) cm2
  12.04900:   33.25535528 x 10^(-38) cm2
  12.22500:   33.71965507 x 10^(-38) cm2
  12.40500:   34.17914694 x 10^(-38) cm2
  12.58600:   34.63673965 x 10^(-38) cm2
  12.77100:   35.09255527 x 10^(-38) cm2
  12.95800:   35.55127121 x 10^(-38) cm2
  13.14800:   36.01719224 x 10^(-38) cm2
  13.34100:   36.49004814 x 10^(-38) cm2
  13.53700:   36.97034029 x 10^(-38) cm2
  13.73500:   37.45294193 x 10^(-38) cm2
  13.93700:   37.94822115 x 10^(-38) cm2
  14.14100:   38.44948729 x 10^(-38) cm2
  14.34800:   38.96056672 x 10^(-38) cm2
  14.55900:   39.48348425 x 10^(-38) cm2
  14.77200:   40.01070742 x 10^(-38) cm2
  14.98900:   40.54569884 x 10^(-38) cm2
  15.20800:   41.08913121 x 10^(-38) cm2
  15.43100:   41.64356938 x 10^(-38) cm2
  15.65800:   42.20571944 x 10^(-38) cm2
  15.88700:   42.77686481 x 10^(-38) cm2
  16.12000:   43.35660137 x 10^(-38) cm2
  16.35700:   43.94386028 x 10^(-38) cm2
  16.59700:   44.54559584 x 10^(-38) cm2
  16.84000:   45.15824874 x 10^(-38) cm2
  17.08700:   45.78025242 x 10^(-38) cm2
  17.33700:   46.40905499 x 10^(-38) cm2
  17.59200:   47.04356348 x 10^(-38) cm2
  17.84900:   47.68871975 x 10^(-38) cm2
  18.11100:   48.34011587 x 10^(-38) cm2
  18.37700:   48.99738487 x 10^(-38) cm2
  18.64600:   49.67680509 x 10^(-38) cm2
  18.92000:   50.37149535 x 10^(-38) cm2
  19.19700:   51.08148926 x 10^(-38) cm2
  19.47800:   51.79721921 x 10^(-38) cm2
  19.76400:   52.51769963 x 10^(-38) cm2
  20.05400:   53.22748199 x 10^(-38) cm2
