   0.01000:    0.00020298 x 10^(-38) cm2
   0.03814:    0.00021327 x 10^(-38) cm2
   0.06628:    0.00022396 x 10^(-38) cm2
   0.09442:    0.00023506 x 10^(-38) cm2
   0.12256:    0.00024659 x 10^(-38) cm2
   0.15070:    0.00025857 x 10^(-38) cm2
   0.15291:    0.00027101 x 10^(-38) cm2
   0.15515:    0.00028393 x 10^(-38) cm2
   0.15742:    0.00029735 x 10^(-38) cm2
   0.15973:    0.00031130 x 10^(-38) cm2
   0.16207:    0.00032579 x 10^(-38) cm2
   0.16445:    0.00034087 x 10^(-38) cm2
   0.16686:    0.00035655 x 10^(-38) cm2
   0.16931:    0.00037284 x 10^(-38) cm2
   0.17179:    0.00038976 x 10^(-38) cm2
   0.17431:    0.00040735 x 10^(-38) cm2
   0.17686:    0.00042565 x 10^(-38) cm2
   0.17946:    0.00044471 x 10^(-38) cm2
   0.18209:    0.00046454 x 10^(-38) cm2
   0.18476:    0.00048518 x 10^(-38) cm2
   0.18747:    0.00050666 x 10^(-38) cm2
   0.19022:    0.00052905 x 10^(-38) cm2
   0.19301:    0.00055237 x 10^(-38) cm2
   0.19584:    0.00057668 x 10^(-38) cm2
   0.19871:    0.00060205 x 10^(-38) cm2
   0.20162:    0.00062853 x 10^(-38) cm2
   0.20458:    0.00065620 x 10^(-38) cm2
   0.20758:    0.00068510 x 10^(-38) cm2
   0.21062:    0.00071533 x 10^(-38) cm2
   0.21371:    0.00074696 x 10^(-38) cm2
   0.21684:    0.00078008 x 10^(-38) cm2
   0.22002:    0.00081478 x 10^(-38) cm2
   0.22325:    0.00085117 x 10^(-38) cm2
   0.22652:    0.00088937 x 10^(-38) cm2
   0.22984:    0.00092954 x 10^(-38) cm2
   0.23321:    0.00097182 x 10^(-38) cm2
   0.23663:    0.00101637 x 10^(-38) cm2
   0.24010:    0.00106339 x 10^(-38) cm2
   0.24362:    0.00111308 x 10^(-38) cm2
   0.24720:    0.00116570 x 10^(-38) cm2
   0.25082:    0.00122153 x 10^(-38) cm2
   0.25450:    0.00128086 x 10^(-38) cm2
   0.25823:    0.00134400 x 10^(-38) cm2
   0.26202:    0.00141138 x 10^(-38) cm2
   0.26586:    0.00148352 x 10^(-38) cm2
   0.26976:    0.00156096 x 10^(-38) cm2
   0.27371:    0.00164428 x 10^(-38) cm2
   0.27772:    0.00173412 x 10^(-38) cm2
   0.28180:    0.00183126 x 10^(-38) cm2
   0.28593:    0.00193666 x 10^(-38) cm2
   0.29012:    0.00205139 x 10^(-38) cm2
   0.29438:    0.00217656 x 10^(-38) cm2
   0.29869:    0.00231342 x 10^(-38) cm2
   0.30307:    0.00246338 x 10^(-38) cm2
   0.30752:    0.00262818 x 10^(-38) cm2
   0.31202:    0.00280969 x 10^(-38) cm2
   0.31660:    0.00300993 x 10^(-38) cm2
   0.32124:    0.00323103 x 10^(-38) cm2
   0.32595:    0.00347519 x 10^(-38) cm2
   0.33073:    0.00374445 x 10^(-38) cm2
   0.33558:    0.00404095 x 10^(-38) cm2
   0.34050:    0.00436694 x 10^(-38) cm2
   0.34549:    0.00472481 x 10^(-38) cm2
   0.35056:    0.00511699 x 10^(-38) cm2
   0.35570:    0.00554550 x 10^(-38) cm2
   0.36092:    0.00601228 x 10^(-38) cm2
   0.36621:    0.00651938 x 10^(-38) cm2
   0.37158:    0.00706898 x 10^(-38) cm2
   0.37703:    0.00766335 x 10^(-38) cm2
   0.38255:    0.00830424 x 10^(-38) cm2
   0.38816:    0.00899315 x 10^(-38) cm2
   0.39385:    0.00973155 x 10^(-38) cm2
   0.39963:    0.01052089 x 10^(-38) cm2
   0.40549:    0.01136254 x 10^(-38) cm2
   0.41143:    0.01225784 x 10^(-38) cm2
   0.41747:    0.01320805 x 10^(-38) cm2
   0.42359:    0.01421443 x 10^(-38) cm2
   0.42980:    0.01527837 x 10^(-38) cm2
   0.43610:    0.01640135 x 10^(-38) cm2
   0.44250:    0.01758444 x 10^(-38) cm2
   0.44898:    0.01882806 x 10^(-38) cm2
   0.45557:    0.02013248 x 10^(-38) cm2
   0.46225:    0.02149776 x 10^(-38) cm2
   0.46903:    0.02292380 x 10^(-38) cm2
   0.47590:    0.02441065 x 10^(-38) cm2
   0.48288:    0.02595900 x 10^(-38) cm2
   0.48996:    0.02756962 x 10^(-38) cm2
   0.49715:    0.02924333 x 10^(-38) cm2
   0.50443:    0.03098099 x 10^(-38) cm2
   0.51183:    0.03278337 x 10^(-38) cm2
   0.51934:    0.03465102 x 10^(-38) cm2
   0.52695:    0.03658434 x 10^(-38) cm2
   0.53468:    0.03858312 x 10^(-38) cm2
   0.54252:    0.04064672 x 10^(-38) cm2
   0.55047:    0.04277416 x 10^(-38) cm2
   0.55854:    0.04496343 x 10^(-38) cm2
   0.56673:    0.04721184 x 10^(-38) cm2
   0.57504:    0.04951777 x 10^(-38) cm2
   0.58347:    0.05188032 x 10^(-38) cm2
   0.59203:    0.05429855 x 10^(-38) cm2
   0.60071:    0.05677353 x 10^(-38) cm2
   0.60952:    0.05930799 x 10^(-38) cm2
   0.61846:    0.06190226 x 10^(-38) cm2
   0.62752:    0.06455471 x 10^(-38) cm2
   0.63673:    0.06726340 x 10^(-38) cm2
   0.64606:    0.07002538 x 10^(-38) cm2
   0.65553:    0.07283656 x 10^(-38) cm2
   0.66515:    0.07569601 x 10^(-38) cm2
   0.67490:    0.07860554 x 10^(-38) cm2
   0.68480:    0.08156709 x 10^(-38) cm2
   0.69484:    0.08458351 x 10^(-38) cm2
   0.70502:    0.08765938 x 10^(-38) cm2
   0.71536:    0.09079586 x 10^(-38) cm2
   0.72585:    0.09399080 x 10^(-38) cm2
   0.73649:    0.09724172 x 10^(-38) cm2
   0.74729:    0.10054609 x 10^(-38) cm2
   0.75825:    0.10390242 x 10^(-38) cm2
   0.76937:    0.10731263 x 10^(-38) cm2
   0.78065:    0.11078155 x 10^(-38) cm2
   0.79210:    0.11431447 x 10^(-38) cm2
   0.80371:    0.11791688 x 10^(-38) cm2
   0.81550:    0.12159302 x 10^(-38) cm2
   0.82745:    0.12534413 x 10^(-38) cm2
   0.83959:    0.12916908 x 10^(-38) cm2
   0.85190:    0.13306644 x 10^(-38) cm2
   0.86439:    0.13703463 x 10^(-38) cm2
   0.87706:    0.14107311 x 10^(-38) cm2
   0.88992:    0.14518497 x 10^(-38) cm2
   0.90297:    0.14937624 x 10^(-38) cm2
   0.91621:    0.15365347 x 10^(-38) cm2
   0.92964:    0.15802368 x 10^(-38) cm2
   0.94328:    0.16249423 x 10^(-38) cm2
   0.95711:    0.16706674 x 10^(-38) cm2
   0.97114:    0.17173647 x 10^(-38) cm2
   0.98538:    0.17649781 x 10^(-38) cm2
   0.99983:    0.18134453 x 10^(-38) cm2
   1.01450:    0.18626891 x 10^(-38) cm2
   1.02940:    0.19127383 x 10^(-38) cm2
   1.04450:    0.19637677 x 10^(-38) cm2
   1.05980:    0.20159736 x 10^(-38) cm2
   1.07530:    0.20695683 x 10^(-38) cm2
   1.09110:    0.21247684 x 10^(-38) cm2
   1.10710:    0.21815838 x 10^(-38) cm2
   1.12330:    0.22397908 x 10^(-38) cm2
   1.13980:    0.22991313 x 10^(-38) cm2
   1.15650:    0.23593222 x 10^(-38) cm2
   1.17340:    0.24200620 x 10^(-38) cm2
   1.19070:    0.24812174 x 10^(-38) cm2
   1.20810:    0.25428615 x 10^(-38) cm2
   1.22580:    0.26050858 x 10^(-38) cm2
   1.24380:    0.26679901 x 10^(-38) cm2
   1.26200:    0.27316828 x 10^(-38) cm2
   1.28050:    0.27962212 x 10^(-38) cm2
   1.29930:    0.28615793 x 10^(-38) cm2
   1.31840:    0.29277219 x 10^(-38) cm2
   1.33770:    0.29946105 x 10^(-38) cm2
   1.35730:    0.30622045 x 10^(-38) cm2
   1.37720:    0.31305170 x 10^(-38) cm2
   1.39740:    0.31996276 x 10^(-38) cm2
   1.41790:    0.32696268 x 10^(-38) cm2
   1.43870:    0.33406127 x 10^(-38) cm2
   1.45980:    0.34126896 x 10^(-38) cm2
   1.48120:    0.34858380 x 10^(-38) cm2
   1.50290:    0.35598299 x 10^(-38) cm2
   1.52490:    0.36343980 x 10^(-38) cm2
   1.54730:    0.37092514 x 10^(-38) cm2
   1.57000:    0.37840778 x 10^(-38) cm2
   1.59300:    0.38587551 x 10^(-38) cm2
   1.61640:    0.39335412 x 10^(-38) cm2
   1.64010:    0.40087654 x 10^(-38) cm2
   1.66410:    0.40847888 x 10^(-38) cm2
   1.68850:    0.41620010 x 10^(-38) cm2
   1.71330:    0.42405689 x 10^(-38) cm2
   1.73840:    0.43202079 x 10^(-38) cm2
   1.76390:    0.44005413 x 10^(-38) cm2
   1.78980:    0.44811586 x 10^(-38) cm2
   1.81600:    0.45616191 x 10^(-38) cm2
   1.84260:    0.46417638 x 10^(-38) cm2
   1.86960:    0.47220160 x 10^(-38) cm2
   1.89710:    0.48029435 x 10^(-38) cm2
   1.92490:    0.48851675 x 10^(-38) cm2
   1.95310:    0.49693604 x 10^(-38) cm2
   1.98170:    0.50558798 x 10^(-38) cm2
   2.01080:    0.51443040 x 10^(-38) cm2
   2.04030:    0.52339193 x 10^(-38) cm2
   2.07020:    0.53239387 x 10^(-38) cm2
   2.10050:    0.54135092 x 10^(-38) cm2
   2.13130:    0.55020276 x 10^(-38) cm2
   2.16260:    0.55895844 x 10^(-38) cm2
   2.19430:    0.56766276 x 10^(-38) cm2
   2.22650:    0.57636756 x 10^(-38) cm2
   2.25910:    0.58512940 x 10^(-38) cm2
   2.29230:    0.59398884 x 10^(-38) cm2
   2.32590:    0.60294388 x 10^(-38) cm2
   2.36000:    0.61196967 x 10^(-38) cm2
   2.39460:    0.62103610 x 10^(-38) cm2
   2.42970:    0.63011079 x 10^(-38) cm2
   2.46530:    0.63919324 x 10^(-38) cm2
   2.50150:    0.64835184 x 10^(-38) cm2
   2.53810:    0.65767437 x 10^(-38) cm2
   2.57540:    0.66725802 x 10^(-38) cm2
   2.61310:    0.67720785 x 10^(-38) cm2
   2.65140:    0.68755615 x 10^(-38) cm2
   2.69030:    0.69816798 x 10^(-38) cm2
   2.72980:    0.70886344 x 10^(-38) cm2
   2.76980:    0.71944037 x 10^(-38) cm2
   2.81040:    0.72967921 x 10^(-38) cm2
   2.85160:    0.73945183 x 10^(-38) cm2
   2.89340:    0.74886036 x 10^(-38) cm2
   2.93580:    0.75806091 x 10^(-38) cm2
   2.97890:    0.76723484 x 10^(-38) cm2
   3.02260:    0.77658030 x 10^(-38) cm2
   3.06690:    0.78624913 x 10^(-38) cm2
   3.11190:    0.79625913 x 10^(-38) cm2
   3.15750:    0.80660042 x 10^(-38) cm2
   3.20380:    0.81725022 x 10^(-38) cm2
   3.25080:    0.82818215 x 10^(-38) cm2
   3.29840:    0.83934626 x 10^(-38) cm2
   3.34680:    0.85063774 x 10^(-38) cm2
   3.39590:    0.86194395 x 10^(-38) cm2
   3.44570:    0.87316386 x 10^(-38) cm2
   3.49620:    0.88419090 x 10^(-38) cm2
   3.54740:    0.89499155 x 10^(-38) cm2
   3.59950:    0.90574078 x 10^(-38) cm2
   3.65220:    0.91665023 x 10^(-38) cm2
   3.70580:    0.92789853 x 10^(-38) cm2
   3.76010:    0.93966637 x 10^(-38) cm2
   3.81530:    0.95204869 x 10^(-38) cm2
   3.87120:    0.96487379 x 10^(-38) cm2
   3.92800:    0.97791711 x 10^(-38) cm2
   3.98560:    0.99100412 x 10^(-38) cm2
   4.04400:    1.00397614 x 10^(-38) cm2
   4.10330:    1.01671548 x 10^(-38) cm2
   4.16350:    1.02925209 x 10^(-38) cm2
   4.22450:    1.04164319 x 10^(-38) cm2
   4.28640:    1.05389299 x 10^(-38) cm2
   4.34930:    1.06596260 x 10^(-38) cm2
   4.41310:    1.07786555 x 10^(-38) cm2
   4.47780:    1.08978852 x 10^(-38) cm2
   4.54340:    1.10196840 x 10^(-38) cm2
   4.61010:    1.11468874 x 10^(-38) cm2
   4.67760:    1.12828916 x 10^(-38) cm2
   4.74620:    1.14299414 x 10^(-38) cm2
   4.81580:    1.15857626 x 10^(-38) cm2
   4.88640:    1.17469112 x 10^(-38) cm2
   4.95810:    1.19095940 x 10^(-38) cm2
   5.03080:    1.20696218 x 10^(-38) cm2
   5.10460:    1.22237260 x 10^(-38) cm2
   5.17940:    1.23727889 x 10^(-38) cm2
   5.25530:    1.25187305 x 10^(-38) cm2
   5.33240:    1.26636538 x 10^(-38) cm2
   5.41060:    1.28098516 x 10^(-38) cm2
   5.48990:    1.29594374 x 10^(-38) cm2
   5.57040:    1.31133147 x 10^(-38) cm2
   5.65210:    1.32721462 x 10^(-38) cm2
   5.73500:    1.34365980 x 10^(-38) cm2
   5.81910:    1.36070890 x 10^(-38) cm2
   5.90440:    1.37835821 x 10^(-38) cm2
   5.99100:    1.39646196 x 10^(-38) cm2
   6.07880:    1.41482662 x 10^(-38) cm2
   6.16790:    1.43324486 x 10^(-38) cm2
   6.25840:    1.45154069 x 10^(-38) cm2
   6.35010:    1.46960605 x 10^(-38) cm2
   6.44330:    1.48752874 x 10^(-38) cm2
   6.53770:    1.50545711 x 10^(-38) cm2
   6.63360:    1.52355221 x 10^(-38) cm2
   6.73090:    1.54196095 x 10^(-38) cm2
   6.82950:    1.56078753 x 10^(-38) cm2
   6.92970:    1.58003843 x 10^(-38) cm2
   7.03130:    1.59969177 x 10^(-38) cm2
   7.13440:    1.61972303 x 10^(-38) cm2
   7.23900:    1.64010694 x 10^(-38) cm2
   7.34510:    1.66083768 x 10^(-38) cm2
   7.45280:    1.68199328 x 10^(-38) cm2
   7.56210:    1.70368234 x 10^(-38) cm2
   7.67300:    1.72602247 x 10^(-38) cm2
   7.78550:    1.74914118 x 10^(-38) cm2
   7.89970:    1.77312200 x 10^(-38) cm2
   8.01550:    1.79778700 x 10^(-38) cm2
   8.13300:    1.82285985 x 10^(-38) cm2
   8.25230:    1.84803845 x 10^(-38) cm2
   8.37330:    1.87299284 x 10^(-38) cm2
   8.49610:    1.89743678 x 10^(-38) cm2
   8.62060:    1.92144589 x 10^(-38) cm2
   8.74700:    1.94522839 x 10^(-38) cm2
   8.87530:    1.96901254 x 10^(-38) cm2
   9.00540:    1.99305252 x 10^(-38) cm2
   9.13750:    2.01763012 x 10^(-38) cm2
   9.27150:    2.04285154 x 10^(-38) cm2
   9.40740:    2.06875320 x 10^(-38) cm2
   9.54530:    2.09537558 x 10^(-38) cm2
   9.68530:    2.12275639 x 10^(-38) cm2
   9.82730:    2.15084688 x 10^(-38) cm2
   9.97140:    2.17951264 x 10^(-38) cm2
  10.11800:    2.20860499 x 10^(-38) cm2
  10.26600:    2.23796121 x 10^(-38) cm2
  10.41600:    2.26740495 x 10^(-38) cm2
  10.56900:    2.29684760 x 10^(-38) cm2
  10.72400:    2.32646589 x 10^(-38) cm2
  10.88100:    2.35651963 x 10^(-38) cm2
  11.04100:    2.38729200 x 10^(-38) cm2
  11.20300:    2.41909078 x 10^(-38) cm2
  11.36700:    2.45217039 x 10^(-38) cm2
  11.53400:    2.48640170 x 10^(-38) cm2
  11.70300:    2.52149812 x 10^(-38) cm2
  11.87500:    2.55714516 x 10^(-38) cm2
  12.04900:    2.59299897 x 10^(-38) cm2
  12.22500:    2.62873243 x 10^(-38) cm2
  12.40500:    2.66433558 x 10^(-38) cm2
  12.58600:    2.69994934 x 10^(-38) cm2
  12.77100:    2.73572873 x 10^(-38) cm2
  12.95800:    2.77184319 x 10^(-38) cm2
  13.14800:    2.80845810 x 10^(-38) cm2
  13.34100:    2.84562104 x 10^(-38) cm2
  13.53700:    2.88332880 x 10^(-38) cm2
  13.73500:    2.92157720 x 10^(-38) cm2
  13.93700:    2.96036105 x 10^(-38) cm2
  14.14100:    2.99968492 x 10^(-38) cm2
  14.34800:    3.03959577 x 10^(-38) cm2
  14.55900:    3.08013551 x 10^(-38) cm2
  14.77200:    3.12134738 x 10^(-38) cm2
  14.98900:    3.16327778 x 10^(-38) cm2
  15.20800:    3.20596191 x 10^(-38) cm2
  15.43100:    3.24936710 x 10^(-38) cm2
  15.65800:    3.29347823 x 10^(-38) cm2
  15.88700:    3.33828398 x 10^(-38) cm2
  16.12000:    3.38377118 x 10^(-38) cm2
  16.35700:    3.42993322 x 10^(-38) cm2
  16.59700:    3.47681449 x 10^(-38) cm2
  16.84000:    3.52444414 x 10^(-38) cm2
  17.08700:    3.57284496 x 10^(-38) cm2
  17.33700:    3.62204085 x 10^(-38) cm2
  17.59200:    3.67206124 x 10^(-38) cm2
  17.84900:    3.72296217 x 10^(-38) cm2
  18.11100:    3.77476037 x 10^(-38) cm2
  18.37700:    3.82745617 x 10^(-38) cm2
  18.64600:    3.88101047 x 10^(-38) cm2
  18.92000:    3.93547657 x 10^(-38) cm2
  19.19700:    3.99055875 x 10^(-38) cm2
  19.47800:    4.04597349 x 10^(-38) cm2
  19.76400:    4.10147213 x 10^(-38) cm2
  20.05400:    4.15678445 x 10^(-38) cm2
  20.34800:    4.21168011 x 10^(-38) cm2
  20.64600:    4.26659547 x 10^(-38) cm2
  20.94900:    4.32236444 x 10^(-38) cm2
  21.25600:    4.37984816 x 10^(-38) cm2
  21.56800:    4.43998202 x 10^(-38) cm2
  21.88400:    4.50367587 x 10^(-38) cm2
  22.20500:    4.57067286 x 10^(-38) cm2
  22.53100:    4.63985214 x 10^(-38) cm2
  22.86100:    4.70994680 x 10^(-38) cm2
  23.19600:    4.77957183 x 10^(-38) cm2
  23.53600:    4.84732322 x 10^(-38) cm2
  23.88100:    4.91300031 x 10^(-38) cm2
  24.23200:    4.97736157 x 10^(-38) cm2
  24.58700:    5.04137457 x 10^(-38) cm2
  24.94700:    5.10611174 x 10^(-38) cm2
  25.31300:    5.17269583 x 10^(-38) cm2
  25.68400:    5.24170967 x 10^(-38) cm2
  26.06100:    5.31328098 x 10^(-38) cm2
  26.44300:    5.38739376 x 10^(-38) cm2
  26.83100:    5.46399461 x 10^(-38) cm2
  27.22400:    5.54300485 x 10^(-38) cm2
  27.62300:    5.62410171 x 10^(-38) cm2
  28.02800:    5.70675831 x 10^(-38) cm2
  28.43900:    5.79043502 x 10^(-38) cm2
  28.85600:    5.87455842 x 10^(-38) cm2
  29.27900:    5.95845093 x 10^(-38) cm2
  29.70900:    6.04217340 x 10^(-38) cm2
  30.14400:    6.12596404 x 10^(-38) cm2
  30.58600:    6.21027713 x 10^(-38) cm2
  31.03500:    6.29566823 x 10^(-38) cm2
  31.49000:    6.38272320 x 10^(-38) cm2
  31.95200:    6.47172766 x 10^(-38) cm2
  32.42000:    6.56268761 x 10^(-38) cm2
  32.89600:    6.65546716 x 10^(-38) cm2
  33.37800:    6.74977353 x 10^(-38) cm2
  33.86700:    6.84529005 x 10^(-38) cm2
  34.36400:    6.94188912 x 10^(-38) cm2
  34.86800:    7.03962696 x 10^(-38) cm2
  35.37900:    7.13864314 x 10^(-38) cm2
  35.89800:    7.23921928 x 10^(-38) cm2
  36.42400:    7.34166042 x 10^(-38) cm2
  36.95800:    7.44601268 x 10^(-38) cm2
  37.50000:    7.55205693 x 10^(-38) cm2
  38.05000:    7.65954577 x 10^(-38) cm2
  38.60800:    7.76821979 x 10^(-38) cm2
  39.17400:    7.87781146 x 10^(-38) cm2
