   0.01000:    0.00000914 x 10^(-38) cm2
   0.03814:    0.00000925 x 10^(-38) cm2
   0.06628:    0.00000969 x 10^(-38) cm2
   0.09442:    0.00001053 x 10^(-38) cm2
   0.12256:    0.00001090 x 10^(-38) cm2
   0.15070:    0.00001107 x 10^(-38) cm2
   0.15291:    0.00001184 x 10^(-38) cm2
   0.15515:    0.00001233 x 10^(-38) cm2
   0.15742:    0.00001344 x 10^(-38) cm2
   0.15973:    0.00001438 x 10^(-38) cm2
   0.16207:    0.00001410 x 10^(-38) cm2
   0.16445:    0.00001582 x 10^(-38) cm2
   0.16686:    0.00001696 x 10^(-38) cm2
   0.16931:    0.00001881 x 10^(-38) cm2
   0.17179:    0.00001916 x 10^(-38) cm2
   0.17431:    0.00002195 x 10^(-38) cm2
   0.17686:    0.00002458 x 10^(-38) cm2
   0.17946:    0.00002689 x 10^(-38) cm2
   0.18209:    0.00002963 x 10^(-38) cm2
   0.18476:    0.00003427 x 10^(-38) cm2
   0.18747:    0.00003909 x 10^(-38) cm2
   0.19022:    0.00004218 x 10^(-38) cm2
   0.19301:    0.00004749 x 10^(-38) cm2
   0.19584:    0.00005407 x 10^(-38) cm2
   0.19871:    0.00006319 x 10^(-38) cm2
   0.20162:    0.00007297 x 10^(-38) cm2
   0.20458:    0.00008434 x 10^(-38) cm2
   0.20758:    0.00010088 x 10^(-38) cm2
   0.21062:    0.00011643 x 10^(-38) cm2
   0.21371:    0.00014276 x 10^(-38) cm2
   0.21684:    0.00016475 x 10^(-38) cm2
   0.22002:    0.00018996 x 10^(-38) cm2
   0.22325:    0.00023258 x 10^(-38) cm2
   0.22652:    0.00026878 x 10^(-38) cm2
   0.22984:    0.00032178 x 10^(-38) cm2
   0.23321:    0.00037801 x 10^(-38) cm2
   0.23663:    0.00044859 x 10^(-38) cm2
   0.24010:    0.00053076 x 10^(-38) cm2
   0.24362:    0.00062871 x 10^(-38) cm2
   0.24720:    0.00074267 x 10^(-38) cm2
   0.25082:    0.00085036 x 10^(-38) cm2
   0.25450:    0.00100029 x 10^(-38) cm2
   0.25823:    0.00117388 x 10^(-38) cm2
   0.26202:    0.00136504 x 10^(-38) cm2
   0.26586:    0.00156772 x 10^(-38) cm2
   0.26976:    0.00183558 x 10^(-38) cm2
   0.27371:    0.00212158 x 10^(-38) cm2
   0.27772:    0.00244536 x 10^(-38) cm2
   0.28180:    0.00278905 x 10^(-38) cm2
   0.28593:    0.00324555 x 10^(-38) cm2
   0.29012:    0.00370591 x 10^(-38) cm2
   0.29438:    0.00422036 x 10^(-38) cm2
   0.29869:    0.00482276 x 10^(-38) cm2
   0.30307:    0.00551177 x 10^(-38) cm2
   0.30752:    0.00624440 x 10^(-38) cm2
   0.31202:    0.00709928 x 10^(-38) cm2
   0.31660:    0.00805123 x 10^(-38) cm2
   0.32124:    0.00907072 x 10^(-38) cm2
   0.32595:    0.01026794 x 10^(-38) cm2
   0.33073:    0.01152382 x 10^(-38) cm2
   0.33558:    0.01299173 x 10^(-38) cm2
   0.34050:    0.01454358 x 10^(-38) cm2
   0.34549:    0.01629020 x 10^(-38) cm2
   0.35056:    0.01819574 x 10^(-38) cm2
   0.35570:    0.02027270 x 10^(-38) cm2
   0.36092:    0.02257878 x 10^(-38) cm2
   0.36621:    0.02498703 x 10^(-38) cm2
   0.37158:    0.02766978 x 10^(-38) cm2
   0.37703:    0.03057719 x 10^(-38) cm2
   0.38255:    0.03378352 x 10^(-38) cm2
   0.38816:    0.03707190 x 10^(-38) cm2
   0.39385:    0.04076887 x 10^(-38) cm2
   0.39963:    0.04459961 x 10^(-38) cm2
   0.40549:    0.04857356 x 10^(-38) cm2
   0.41143:    0.05289536 x 10^(-38) cm2
   0.41747:    0.05755383 x 10^(-38) cm2
   0.42359:    0.06228661 x 10^(-38) cm2
   0.42980:    0.06733338 x 10^(-38) cm2
   0.43610:    0.07249987 x 10^(-38) cm2
   0.44250:    0.07811189 x 10^(-38) cm2
   0.44898:    0.08374273 x 10^(-38) cm2
   0.45557:    0.08985205 x 10^(-38) cm2
   0.46225:    0.09581835 x 10^(-38) cm2
   0.46903:    0.10237621 x 10^(-38) cm2
   0.47590:    0.10927912 x 10^(-38) cm2
   0.48288:    0.11614193 x 10^(-38) cm2
   0.48996:    0.12318008 x 10^(-38) cm2
   0.49715:    0.13065506 x 10^(-38) cm2
   0.50443:    0.13814559 x 10^(-38) cm2
   0.51183:    0.14613059 x 10^(-38) cm2
   0.51934:    0.15428050 x 10^(-38) cm2
   0.52695:    0.16305345 x 10^(-38) cm2
   0.53468:    0.17183941 x 10^(-38) cm2
   0.54252:    0.18054964 x 10^(-38) cm2
   0.55047:    0.18968929 x 10^(-38) cm2
   0.55854:    0.19945157 x 10^(-38) cm2
   0.56673:    0.20927519 x 10^(-38) cm2
   0.57504:    0.21921737 x 10^(-38) cm2
   0.58347:    0.22979328 x 10^(-38) cm2
   0.59203:    0.23985025 x 10^(-38) cm2
   0.60071:    0.25095790 x 10^(-38) cm2
   0.60952:    0.26221468 x 10^(-38) cm2
   0.61846:    0.27322972 x 10^(-38) cm2
   0.62752:    0.28494642 x 10^(-38) cm2
   0.63673:    0.29744410 x 10^(-38) cm2
   0.64606:    0.30909698 x 10^(-38) cm2
   0.65553:    0.32243973 x 10^(-38) cm2
   0.66515:    0.33493952 x 10^(-38) cm2
   0.67490:    0.34760322 x 10^(-38) cm2
   0.68480:    0.36143004 x 10^(-38) cm2
   0.69484:    0.37492083 x 10^(-38) cm2
   0.70502:    0.38971224 x 10^(-38) cm2
   0.71536:    0.40413041 x 10^(-38) cm2
   0.72585:    0.41914572 x 10^(-38) cm2
   0.73649:    0.43428616 x 10^(-38) cm2
   0.74729:    0.45031655 x 10^(-38) cm2
   0.75825:    0.46614531 x 10^(-38) cm2
   0.76937:    0.48237840 x 10^(-38) cm2
   0.78065:    0.49924284 x 10^(-38) cm2
   0.79210:    0.51673643 x 10^(-38) cm2
   0.80371:    0.53505463 x 10^(-38) cm2
   0.81550:    0.55274833 x 10^(-38) cm2
   0.82745:    0.57184245 x 10^(-38) cm2
   0.83959:    0.59054303 x 10^(-38) cm2
   0.85190:    0.61116570 x 10^(-38) cm2
   0.86439:    0.63179544 x 10^(-38) cm2
   0.87706:    0.65266492 x 10^(-38) cm2
   0.88992:    0.67417040 x 10^(-38) cm2
