   0.01000:    0.00019452 x 10^(-38) cm2
   0.03814:    0.00020419 x 10^(-38) cm2
   0.06628:    0.00021423 x 10^(-38) cm2
   0.09442:    0.00022463 x 10^(-38) cm2
   0.12256:    0.00023542 x 10^(-38) cm2
   0.15070:    0.00024662 x 10^(-38) cm2
   0.15291:    0.00025823 x 10^(-38) cm2
   0.15515:    0.00027028 x 10^(-38) cm2
   0.15742:    0.00028277 x 10^(-38) cm2
   0.15973:    0.00029574 x 10^(-38) cm2
   0.16207:    0.00030918 x 10^(-38) cm2
   0.16445:    0.00032315 x 10^(-38) cm2
   0.16686:    0.00033765 x 10^(-38) cm2
   0.16931:    0.00035269 x 10^(-38) cm2
   0.17179:    0.00036829 x 10^(-38) cm2
   0.17431:    0.00038448 x 10^(-38) cm2
   0.17686:    0.00040130 x 10^(-38) cm2
   0.17946:    0.00041877 x 10^(-38) cm2
   0.18209:    0.00043692 x 10^(-38) cm2
   0.18476:    0.00045577 x 10^(-38) cm2
   0.18747:    0.00047536 x 10^(-38) cm2
   0.19022:    0.00049572 x 10^(-38) cm2
   0.19301:    0.00051688 x 10^(-38) cm2
   0.19584:    0.00053889 x 10^(-38) cm2
   0.19871:    0.00056180 x 10^(-38) cm2
   0.20162:    0.00058565 x 10^(-38) cm2
   0.20458:    0.00061050 x 10^(-38) cm2
   0.20758:    0.00063638 x 10^(-38) cm2
   0.21062:    0.00066336 x 10^(-38) cm2
   0.21371:    0.00069148 x 10^(-38) cm2
   0.21684:    0.00072081 x 10^(-38) cm2
   0.22002:    0.00075139 x 10^(-38) cm2
   0.22325:    0.00078330 x 10^(-38) cm2
   0.22652:    0.00081663 x 10^(-38) cm2
   0.22984:    0.00085148 x 10^(-38) cm2
   0.23321:    0.00088792 x 10^(-38) cm2
   0.23663:    0.00092608 x 10^(-38) cm2
   0.24010:    0.00096605 x 10^(-38) cm2
   0.24362:    0.00100796 x 10^(-38) cm2
   0.24720:    0.00105196 x 10^(-38) cm2
   0.25082:    0.00109821 x 10^(-38) cm2
   0.25450:    0.00114685 x 10^(-38) cm2
   0.25823:    0.00119807 x 10^(-38) cm2
   0.26202:    0.00125209 x 10^(-38) cm2
   0.26586:    0.00130917 x 10^(-38) cm2
   0.26976:    0.00136959 x 10^(-38) cm2
   0.27371:    0.00143365 x 10^(-38) cm2
   0.27772:    0.00150165 x 10^(-38) cm2
   0.28180:    0.00157399 x 10^(-38) cm2
   0.28593:    0.00165113 x 10^(-38) cm2
   0.29012:    0.00173355 x 10^(-38) cm2
   0.29438:    0.00182181 x 10^(-38) cm2
   0.29869:    0.00191646 x 10^(-38) cm2
   0.30307:    0.00201816 x 10^(-38) cm2
   0.30752:    0.00212765 x 10^(-38) cm2
   0.31202:    0.00224573 x 10^(-38) cm2
   0.31660:    0.00237326 x 10^(-38) cm2
   0.32124:    0.00251114 x 10^(-38) cm2
   0.32595:    0.00266028 x 10^(-38) cm2
   0.33073:    0.00282149 x 10^(-38) cm2
   0.33558:    0.00299557 x 10^(-38) cm2
   0.34050:    0.00318337 x 10^(-38) cm2
   0.34549:    0.00338579 x 10^(-38) cm2
   0.35056:    0.00360372 x 10^(-38) cm2
   0.35570:    0.00383783 x 10^(-38) cm2
   0.36092:    0.00408873 x 10^(-38) cm2
   0.36621:    0.00435707 x 10^(-38) cm2
   0.37158:    0.00464351 x 10^(-38) cm2
   0.37703:    0.00494874 x 10^(-38) cm2
   0.38255:    0.00527328 x 10^(-38) cm2
   0.38816:    0.00561757 x 10^(-38) cm2
   0.39385:    0.00598200 x 10^(-38) cm2
   0.39963:    0.00636694 x 10^(-38) cm2
   0.40549:    0.00677273 x 10^(-38) cm2
   0.41143:    0.00719967 x 10^(-38) cm2
   0.41747:    0.00764804 x 10^(-38) cm2
   0.42359:    0.00811815 x 10^(-38) cm2
   0.42980:    0.00861030 x 10^(-38) cm2
   0.43610:    0.00912487 x 10^(-38) cm2
   0.44250:    0.00966214 x 10^(-38) cm2
   0.44898:    0.01022235 x 10^(-38) cm2
   0.45557:    0.01080566 x 10^(-38) cm2
   0.46225:    0.01141213 x 10^(-38) cm2
   0.46903:    0.01204174 x 10^(-38) cm2
   0.47590:    0.01269450 x 10^(-38) cm2
   0.48288:    0.01337060 x 10^(-38) cm2
   0.48996:    0.01407026 x 10^(-38) cm2
   0.49715:    0.01479375 x 10^(-38) cm2
