   0.01000:    0.00001068 x 10^(-38) cm2
   0.03814:    0.00001081 x 10^(-38) cm2
   0.06628:    0.00001130 x 10^(-38) cm2
   0.09442:    0.00001220 x 10^(-38) cm2
   0.12256:    0.00001260 x 10^(-38) cm2
   0.15070:    0.00001281 x 10^(-38) cm2
   0.15291:    0.00001364 x 10^(-38) cm2
   0.15515:    0.00001417 x 10^(-38) cm2
   0.15742:    0.00001536 x 10^(-38) cm2
   0.15973:    0.00001637 x 10^(-38) cm2
   0.16207:    0.00001611 x 10^(-38) cm2
   0.16445:    0.00001815 x 10^(-38) cm2
   0.16686:    0.00001941 x 10^(-38) cm2
   0.16931:    0.00002145 x 10^(-38) cm2
   0.17179:    0.00002223 x 10^(-38) cm2
   0.17431:    0.00002519 x 10^(-38) cm2
   0.17686:    0.00002832 x 10^(-38) cm2
   0.17946:    0.00003124 x 10^(-38) cm2
   0.18209:    0.00003486 x 10^(-38) cm2
   0.18476:    0.00004066 x 10^(-38) cm2
   0.18747:    0.00004698 x 10^(-38) cm2
   0.19022:    0.00005177 x 10^(-38) cm2
   0.19301:    0.00005935 x 10^(-38) cm2
   0.19584:    0.00006899 x 10^(-38) cm2
   0.19871:    0.00008184 x 10^(-38) cm2
   0.20162:    0.00009655 x 10^(-38) cm2
   0.20458:    0.00011413 x 10^(-38) cm2
   0.20758:    0.00013857 x 10^(-38) cm2
   0.21062:    0.00016344 x 10^(-38) cm2
   0.21371:    0.00020169 x 10^(-38) cm2
   0.21684:    0.00023726 x 10^(-38) cm2
   0.22002:    0.00027839 x 10^(-38) cm2
   0.22325:    0.00034091 x 10^(-38) cm2
   0.22652:    0.00039984 x 10^(-38) cm2
   0.22984:    0.00048065 x 10^(-38) cm2
   0.23321:    0.00056925 x 10^(-38) cm2
   0.23663:    0.00067854 x 10^(-38) cm2
   0.24010:    0.00080604 x 10^(-38) cm2
   0.24362:    0.00095792 x 10^(-38) cm2
   0.24720:    0.00113539 x 10^(-38) cm2
   0.25082:    0.00131591 x 10^(-38) cm2
   0.25450:    0.00155310 x 10^(-38) cm2
   0.25823:    0.00182878 x 10^(-38) cm2
   0.26202:    0.00213883 x 10^(-38) cm2
   0.26586:    0.00247892 x 10^(-38) cm2
   0.26976:    0.00291144 x 10^(-38) cm2
   0.27371:    0.00338735 x 10^(-38) cm2
   0.27772:    0.00393234 x 10^(-38) cm2
   0.28180:    0.00453017 x 10^(-38) cm2
   0.28593:    0.00528952 x 10^(-38) cm2
   0.29012:    0.00609567 x 10^(-38) cm2
   0.29438:    0.00701236 x 10^(-38) cm2
   0.29869:    0.00808199 x 10^(-38) cm2
   0.30307:    0.00931498 x 10^(-38) cm2
