   0.01000:    0.00020455 x 10^(-38) cm2
   0.03814:    0.00021488 x 10^(-38) cm2
   0.06628:    0.00022560 x 10^(-38) cm2
   0.09442:    0.00023673 x 10^(-38) cm2
   0.12256:    0.00024830 x 10^(-38) cm2
   0.15070:    0.00026031 x 10^(-38) cm2
   0.15291:    0.00027278 x 10^(-38) cm2
   0.15515:    0.00028574 x 10^(-38) cm2
   0.15742:    0.00029920 x 10^(-38) cm2
   0.15973:    0.00031318 x 10^(-38) cm2
   0.16207:    0.00032771 x 10^(-38) cm2
   0.16445:    0.00034283 x 10^(-38) cm2
   0.16686:    0.00035854 x 10^(-38) cm2
   0.16931:    0.00037487 x 10^(-38) cm2
   0.17179:    0.00039183 x 10^(-38) cm2
   0.17431:    0.00040946 x 10^(-38) cm2
   0.17686:    0.00042781 x 10^(-38) cm2
   0.17946:    0.00044691 x 10^(-38) cm2
   0.18209:    0.00046678 x 10^(-38) cm2
   0.18476:    0.00048746 x 10^(-38) cm2
   0.18747:    0.00050900 x 10^(-38) cm2
   0.19022:    0.00053143 x 10^(-38) cm2
   0.19301:    0.00055479 x 10^(-38) cm2
   0.19584:    0.00057916 x 10^(-38) cm2
   0.19871:    0.00060458 x 10^(-38) cm2
   0.20162:    0.00063111 x 10^(-38) cm2
   0.20458:    0.00065882 x 10^(-38) cm2
   0.20758:    0.00068778 x 10^(-38) cm2
   0.21062:    0.00071806 x 10^(-38) cm2
   0.21371:    0.00074975 x 10^(-38) cm2
   0.21684:    0.00078292 x 10^(-38) cm2
   0.22002:    0.00081768 x 10^(-38) cm2
   0.22325:    0.00085412 x 10^(-38) cm2
   0.22652:    0.00089239 x 10^(-38) cm2
   0.22984:    0.00093261 x 10^(-38) cm2
   0.23321:    0.00097495 x 10^(-38) cm2
   0.23663:    0.00101957 x 10^(-38) cm2
   0.24010:    0.00106664 x 10^(-38) cm2
   0.24362:    0.00111640 x 10^(-38) cm2
   0.24720:    0.00116909 x 10^(-38) cm2
   0.25082:    0.00122499 x 10^(-38) cm2
   0.25450:    0.00128438 x 10^(-38) cm2
   0.25823:    0.00134760 x 10^(-38) cm2
   0.26202:    0.00141505 x 10^(-38) cm2
   0.26586:    0.00148726 x 10^(-38) cm2
   0.26976:    0.00156477 x 10^(-38) cm2
   0.27371:    0.00164817 x 10^(-38) cm2
   0.27772:    0.00173809 x 10^(-38) cm2
   0.28180:    0.00183530 x 10^(-38) cm2
   0.28593:    0.00194079 x 10^(-38) cm2
   0.29012:    0.00205560 x 10^(-38) cm2
   0.29438:    0.00218086 x 10^(-38) cm2
   0.29869:    0.00231780 x 10^(-38) cm2
   0.30307:    0.00246784 x 10^(-38) cm2
   0.30752:    0.00263273 x 10^(-38) cm2
   0.31202:    0.00281434 x 10^(-38) cm2
   0.31660:    0.00301467 x 10^(-38) cm2
   0.32124:    0.00323587 x 10^(-38) cm2
   0.32595:    0.00348012 x 10^(-38) cm2
   0.33073:    0.00374948 x 10^(-38) cm2
   0.33558:    0.00404607 x 10^(-38) cm2
   0.34050:    0.00437217 x 10^(-38) cm2
   0.34549:    0.00473014 x 10^(-38) cm2
   0.35056:    0.00512243 x 10^(-38) cm2
   0.35570:    0.00555105 x 10^(-38) cm2
   0.36092:    0.00601795 x 10^(-38) cm2
   0.36621:    0.00652516 x 10^(-38) cm2
   0.37158:    0.00707487 x 10^(-38) cm2
   0.37703:    0.00766936 x 10^(-38) cm2
   0.38255:    0.00831037 x 10^(-38) cm2
   0.38816:    0.00899940 x 10^(-38) cm2
   0.39385:    0.00973793 x 10^(-38) cm2
   0.39963:    0.01052739 x 10^(-38) cm2
   0.40549:    0.01136917 x 10^(-38) cm2
   0.41143:    0.01226460 x 10^(-38) cm2
   0.41747:    0.01321495 x 10^(-38) cm2
   0.42359:    0.01422146 x 10^(-38) cm2
   0.42980:    0.01528555 x 10^(-38) cm2
   0.43610:    0.01640867 x 10^(-38) cm2
   0.44250:    0.01759191 x 10^(-38) cm2
   0.44898:    0.01883568 x 10^(-38) cm2
   0.45557:    0.02014024 x 10^(-38) cm2
   0.46225:    0.02150568 x 10^(-38) cm2
   0.46903:    0.02293189 x 10^(-38) cm2
   0.47590:    0.02441890 x 10^(-38) cm2
   0.48288:    0.02596741 x 10^(-38) cm2
   0.48996:    0.02757819 x 10^(-38) cm2
   0.49715:    0.02925208 x 10^(-38) cm2
   0.50443:    0.03098991 x 10^(-38) cm2
   0.51183:    0.03279247 x 10^(-38) cm2
   0.51934:    0.03466031 x 10^(-38) cm2
   0.52695:    0.03659381 x 10^(-38) cm2
   0.53468:    0.03859278 x 10^(-38) cm2
   0.54252:    0.04065657 x 10^(-38) cm2
   0.55047:    0.04278421 x 10^(-38) cm2
   0.55854:    0.04497368 x 10^(-38) cm2
   0.56673:    0.04722229 x 10^(-38) cm2
   0.57504:    0.04952843 x 10^(-38) cm2
   0.58347:    0.05189119 x 10^(-38) cm2
   0.59203:    0.05430964 x 10^(-38) cm2
   0.60071:    0.05678484 x 10^(-38) cm2
   0.60952:    0.05931953 x 10^(-38) cm2
   0.61846:    0.06191403 x 10^(-38) cm2
   0.62752:    0.06456672 x 10^(-38) cm2
   0.63673:    0.06727565 x 10^(-38) cm2
   0.64606:    0.07003787 x 10^(-38) cm2
   0.65553:    0.07284930 x 10^(-38) cm2
   0.66515:    0.07570901 x 10^(-38) cm2
   0.67490:    0.07861879 x 10^(-38) cm2
   0.68480:    0.08158061 x 10^(-38) cm2
   0.69484:    0.08459730 x 10^(-38) cm2
   0.70502:    0.08767345 x 10^(-38) cm2
   0.71536:    0.09081021 x 10^(-38) cm2
   0.72585:    0.09400544 x 10^(-38) cm2
   0.73649:    0.09725665 x 10^(-38) cm2
   0.74729:    0.10056132 x 10^(-38) cm2
   0.75825:    0.10391795 x 10^(-38) cm2
   0.76937:    0.10732847 x 10^(-38) cm2
   0.78065:    0.11079771 x 10^(-38) cm2
   0.79210:    0.11433096 x 10^(-38) cm2
   0.80371:    0.11793369 x 10^(-38) cm2
   0.81550:    0.12161017 x 10^(-38) cm2
   0.82745:    0.12536163 x 10^(-38) cm2
   0.83959:    0.12918693 x 10^(-38) cm2
   0.85190:    0.13308464 x 10^(-38) cm2
   0.86439:    0.13705319 x 10^(-38) cm2
   0.87706:    0.14109204 x 10^(-38) cm2
   0.88992:    0.14520428 x 10^(-38) cm2
   0.90297:    0.14939594 x 10^(-38) cm2
   0.91621:    0.15367356 x 10^(-38) cm2
   0.92964:    0.15804418 x 10^(-38) cm2
   0.94328:    0.16251514 x 10^(-38) cm2
   0.95711:    0.16708807 x 10^(-38) cm2
   0.97114:    0.17175822 x 10^(-38) cm2
   0.98538:    0.17652000 x 10^(-38) cm2
   0.99983:    0.18136717 x 10^(-38) cm2
   1.01450:    0.18629200 x 10^(-38) cm2
   1.02940:    0.19129738 x 10^(-38) cm2
   1.04450:    0.19640080 x 10^(-38) cm2
   1.05980:    0.20162187 x 10^(-38) cm2
   1.07530:    0.20698182 x 10^(-38) cm2
   1.09110:    0.21250233 x 10^(-38) cm2
   1.10710:    0.21818439 x 10^(-38) cm2
   1.12330:    0.22400560 x 10^(-38) cm2
   1.13980:    0.22994018 x 10^(-38) cm2
   1.15650:    0.23595982 x 10^(-38) cm2
   1.17340:    0.24203435 x 10^(-38) cm2
   1.19070:    0.24815045 x 10^(-38) cm2
   1.20810:    0.25431544 x 10^(-38) cm2
   1.22580:    0.26053846 x 10^(-38) cm2
   1.24380:    0.26682949 x 10^(-38) cm2
   1.26200:    0.27319937 x 10^(-38) cm2
   1.28050:    0.27965383 x 10^(-38) cm2
   1.29930:    0.28619027 x 10^(-38) cm2
   1.31840:    0.29280518 x 10^(-38) cm2
   1.33770:    0.29949470 x 10^(-38) cm2
   1.35730:    0.30625478 x 10^(-38) cm2
   1.37720:    0.31308671 x 10^(-38) cm2
   1.39740:    0.31999848 x 10^(-38) cm2
   1.41790:    0.32699911 x 10^(-38) cm2
   1.43870:    0.33409843 x 10^(-38) cm2
   1.45980:    0.34130687 x 10^(-38) cm2
   1.48120:    0.34862247 x 10^(-38) cm2
   1.50290:    0.35602242 x 10^(-38) cm2
